ParticipantId- Prefill,Program,"We strive to ensure our community is diverse. Please respond to the following questions about your background, identity, and experiences to the extent you feel comfortable. If you do not want to provide this information, please select “I choose not to provide this information.”",African American/Black,"Please specify your selection, to the degree you feel necessary",Please specify,Asian American,"Please specify your selection, to the degree you feel necessary",Please specify,Latinx or Hispanic,"Please specify your selection, to the degree you feel necessary",Please specify,Native American,Would you prefer to specify your selection?,Please specify,Native Alaskan,Would you prefer to specify your selection?,Please specify,Native Hawaiian/Pacific Islander,"Please specify your selection, to the degree you feel necessary",Please specify,White/Caucasian,"Please specify your selection, to the degree you feel necessary",Please specify,Middle Eastern/North African,"Please specify your selection, to the degree you feel necessary",Please specify,Multi-ethnic/Multi-racial,Would you prefer to specify your selection?,Please specify,Other,Would you prefer to specify your selection?,Please specify,I choose not to provide information about the race/ethnicity I identify with.,What is your gender identity?,How likely would you be to recommend Program to a friend?,NPS Score,Program was one of the most valuable personal or professional development experiences I've ever had.,How much do you think Program has improved your chances of getting the job you want after graduation?,Which of the following changes did you experience while completing the Program Accelerator? Please select all that apply.,"I feel part of a larger Program community of Fellows, alumni, and supporters.",I see Program as more than just a course; I feel like I am part of a broader movement.,I have a mentor who encourages my goals and dreams.,I believe the next generation of leaders will emerge from everywhere.,I was able to build relationships with my cohort and coach while in a virtual/hybrid environment.
680,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Strongly Agree,Improved my chances a great deal,"I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Agree,Agree,Agree,Agree
681,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,I expanded my professional network,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
682,CHI: NLU Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
683,CHI: NLU Spring 2022,"I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,8,8,Strongly Agree,Improved my chances quite a bit,"I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree
684,CHI: NLU Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Neither Agree nor Disagree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Agree,Agree,Agree,Agree
685,CHI: NLU Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
686,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Moderately Agree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Neither Agree nor Disagree,Agree,Agree,Agree
687,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,"Salvadoran,Other (please specify):",Belizean,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree
688,CHI: NLU Spring 2022,I choose not to provide this information.,,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I gained a tangible plan for achieving my career goals",Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
689,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Agree,Improved my chances a great deal,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Agree,Agree,Agree,Strongly Agree
690,CHI: NLU Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,6,6,Neither Agree nor Disagree,Moderately improved my chances,"I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree
691,CHI: NLU Spring 2022,I choose not to provide this information.,,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,6,6,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree
692,CHI: NLU Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
693,CHI: NLU Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
694,CHI: NLU Spring 2022,I identify as a person of color.,,,,,,,Latinx or Hispanic,Other (please specify):,Guatemalan,,,,,,,,,,White/Caucasian,English,,,,,,,,,,,,Female,8,8,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
695,CHI: NLU Spring 2022,"I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
696,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,9,9,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree
